"Transaction ID","Date","Country","Product ID","Product Name","Category","Price Per Unit"," Quantity Purchased","Cost Price"," Discount Applied","Payment Method","Customer Age Group","Customer Gender","Store Location","Sales Representative"
"596875d9-4ad0-4188-86fc-930a0283d228","2025-07-16","Canada","295dceba-6976-4206-8460-38da4be04f88","Camera","Clothing","459.35",4,"339.05","80.72","Mobile Payment","Senior","Other","Montreal","Leonard Cuevas"
"9e9fc769-09f7-47a7-bac6-df435a615ddb","2025-09-08","Canada","84d0acf6-10c4-41ef-b95e-6121d3ad2abe","Return","Electronics","122.03",6,"105.56","13.79","Mobile Payment","Young","Male","Toronto","Jessica Fox"
"7c2aaf34-c888-47bb-9eb5-6f91abcb4795","2025-07-08","Canada","40c24b25-986f-497e-8428-c60638079ba3","Church","Toys","116.68",3,"83.96","7.41","Mobile Payment","Young","Female","Vancouver","Michelle Garcia"
"05f7fa3b-8b6e-4b74-87ab-c093cd94cd6c","2025-12-14","Canada","ddbeb11d-e70a-4f70-9acc-970102eef3df","Sometimes","Toys","335.86",9,"207.14","26.1","Credit Card","Senior","Other","Montreal","Bianca Taylor"
"c02a0391-e849-4e02-85b7-c28dc90f3743","2025-11-20","Canada","98e07924-7742-440a-bfa7-63167bd574de","Under","Toys","333.86",10,"274.66","16.8","Mobile Payment","Adult","Female","Montreal","Brett Miller"
"bd741311-592f-4359-98fd-3c9c83226c1a","2025-07-16","Canada","3011e6de-df43-429d-863c-6b4a106c16c7","It","Beauty","442.57",4,"308.18","30.87","Cash","Adult","Male","Toronto","Lisa Fischer"
"b43a559a-9660-4d03-bd73-7497c96ce5ff","2025-12-01","Canada","89bef734-1ded-45aa-bddf-2fdd5dc5232c","Expect","Clothing","481.75",3,"377.28","70.09","Mobile Payment","Young","Male","Montreal","Richard Preston"
"4bcd42ac-fbd2-4fc0-b2e2-97207a1f9604","2025-09-10","Canada","b169cb8e-ae59-41da-aab4-3ad4a5a47f6d","Result","Beauty","367.24",8,"238.01","69.14","Credit Card","Young","Male","Vancouver","Amanda Moon"
"bbac824d-28cf-4c2a-88d4-f40917856021","2025-11-20","Canada","57687693-bd29-4786-a709-f8b2964e0a1f","Resource","Electronics","291.92",1,"253.47","18.88","Mobile Payment","Senior","Male","Montreal","Rachael Lopez"
"41dc353f-2a9b-463f-a466-baf2f26725a0","2025-11-20","Canada","ab7b1356-36e2-4478-aa42-6519b97c981a","Relate","Electronics","114.67",6,"85.32","1.96","Credit Card","Senior","Female","Vancouver","Charlotte Norman"
"1976e6db-3ce3-4414-a08b-1458adea9960","2025-12-14","Canada","09dd9e05-dac9-4c08-b54a-2ffc7aefbc4c","Dinner","Electronics","370.24",5,"297.96","57.41","Credit Card","Senior","Other","Montreal","Michelle Floyd"
"90abcc63-0d6f-4397-8755-91f41fa1854b","2025-06-06","Canada","b1f1088f-2b55-4d28-8d9d-f05151bc4e5b","West","Sports","298.9",10,"216.93","15.38","Credit Card","Young","Female","Montreal","Adam Smith"
"e8b7fbbe-2075-4387-b4f7-42f396a47c84","2025-05-03","Canada","3d3f36c0-6d94-4fce-aa62-76a321bf196c","Candidate","Toys","309.55",3,"211.15","41.73","Credit Card","Young","Female","Vancouver","Virginia Hickman"
"4a0dc932-8abc-4d93-9719-47cad4d2afca","2025-11-20","Canada","7c88d37b-dcce-49cf-8c75-7baea0a55f26","Who","Clothing","375.65",10,"302.8","67.57","Credit Card","Adult","Male","Montreal","Christine Campos"
"5e2d5c52-6ac0-4bbe-9d47-fed978f8b20e","2025-12-22","Canada","9f5f0c7f-51af-43b3-a6ae-75ab6229bd91","Stop","Clothing","33.61",10,"28.57","1.4","Cash","Senior","Male","Montreal","Brittany Jones"
"da5cbcde-370e-43e3-9279-86c260df51d5","2025-11-20","Canada","326106ec-2568-4c85-915e-5cdff5df1693","Every","Electronics","278.13",3,"187.44","39.03","Credit Card","Senior","Male","Vancouver","Robin Ward"
"fed3f20c-21b9-4a9b-bf61-329728de6c24","2025-09-19","Canada","6540cbfc-55dc-4131-92b2-54ecf6cff8d1","Culture","Clothing","265.8",1,"230.08","34.9","Cash","Senior","Male","Montreal","Julie Rowland"
"428dce59-ca0b-4d28-ab4d-1c15d3145939","2025-07-26","Canada","47d2c0d9-d641-450c-b138-2746be5e7d83","Stage","Beauty","444.69",4,"345.35","78.84","Cash","Senior","Other","Vancouver","Michael Miranda"
"60d04c33-b4ac-4fa4-b0ab-4cbc8fe01ba4","2025-09-18","Canada","106cdac3-5741-4cbc-bbd7-67d7e48e3962","Morning","Sports","113.1",10,"68.13","21.92","Credit Card","Adult","Male","Toronto","David Dennis"
"e665080c-9d42-4858-9ec5-7f009abde027","2025-05-25","Canada","2688e085-dcec-4f0a-8ced-acdfe2b7b5b8","Early","Electronics","104.9",1,"93.27","18.39","Credit Card","Senior","Female","Montreal","Ryan Wolf"
"965c99da-f5ab-44c3-a309-7f52fab42639","2025-08-17","Canada","19cc0fb6-7825-4053-b5e1-16068314f629","News","Beauty","499.98",5,"417.6","7.94","Mobile Payment","Adult","Other","Vancouver","Stephen Kent"
"a2e00c16-0563-4733-8221-838bcc3725a5","2025-05-17","Canada","db116c99-28d1-4471-a411-e652511505c1","Say","Electronics","75.75",4,"50.93","13.96","Mobile Payment","Adult","Male","Vancouver","Jennifer Osborne"
"9dada223-10b0-4f44-965f-0d05a3639a8b","2025-07-16","Canada","cb927b1e-c0aa-4f9f-b421-481311e376be","Pm","Electronics","156.13",2,"121.04","18.18","Credit Card","Senior","Female","Vancouver","Elizabeth Olson"
"9ac4e033-2710-4e08-b0eb-3454e5225adf","2025-12-14","Canada","667e98f2-a3b6-474f-88a0-e4a5bd6fbca9","Experience","Home & Kitchen","33.8",7,"26.57","5.82","Cash","Adult","Male","Toronto","Daniel Mccarthy"
"adb6d89e-e9ee-4151-aa1a-25f6eacc4789","2025-07-26","Canada","46127ebe-d402-4ac6-8b8c-91d70c53b8ad","Be","Toys","348.65",2,"222.51","50.47","Credit Card","Young","Male","Vancouver","Amber Mitchell"
"b8d61217-b5d2-49e5-96c2-5b8824701a1f","2025-06-06","Canada","24327b95-1220-4e31-a723-06de89b970a0","Seem","Clothing","72.46",8,"49.27","7.56","Cash","Young","Male","Montreal","Tony Caldwell"
"c173c4bc-622c-4d95-8b13-712ba275e2e5","2025-11-20","Canada","179ffcbc-94ac-4a82-8f52-b1ec74fe0b45","Level","Sports","318.77",4,"192.5","48.47","Credit Card","Adult","Female","Montreal","Stacey Alvarez"
"d2ae239a-44d8-4527-b96d-b246a79b24aa","2025-05-17","Canada","d5615e4d-1897-4687-83ee-c53c698e1239","Stand","Home & Kitchen","15.47",3,"10.28","2.86","Cash","Adult","Other","Toronto","Brian Roth"
"50644fd5-61ff-4aac-8592-a426e824a568","2025-04-24","Canada","526c0dde-dc72-432d-aa89-cf238506aea4","Fast","Electronics","39.52",5,"34.23","4.84","Cash","Senior","Female","Vancouver","Jessica Blevins"
"77323e90-fbb9-4434-9f73-6028b9748e9d","2025-03-03","Canada","4de5c5af-d970-4cb4-b0da-4c71ef39580c","Give","Clothing","398.89",3,"283.02","44.2","Credit Card","Senior","Female","Toronto","Penny Randolph"
"3d6cd03e-60a3-4f5d-9683-5d7298820d23","2025-10-11","Canada","de0c63c5-c891-4518-be78-eff599976be5","Draw","Beauty","179.31",3,"143.16","24.26","Credit Card","Young","Other","Montreal","Sean Gordon"
"bf08376a-79ce-4793-ba96-159f1e5b2689","2025-06-04","Canada","8c1d21ef-1da3-4ce7-82ad-9de4ce320718","Fill","Electronics","338.85",7,"244.02","55.51","Credit Card","Adult","Male","Vancouver","Robert Davis DVM"
"eabbad23-959f-4a0c-977d-aa98d7cfbb3f","2025-03-03","Canada","ec005cdc-1d50-4a5b-b3de-9d721e7be123","Bar","Sports","254.26",9,"180.4","23.93","Cash","Young","Female","Montreal","Stacy Walker"
"f0730993-7c77-4da7-898d-8c00fe701cb2","2025-03-03","Canada","3fea5fd0-0b41-4b27-81dc-4982e82af6a2","Event","Electronics","448.97",1,"385.29","33.3","Cash","Senior","Other","Toronto","Brianna Thomas"
"83d37e8a-f157-4c6a-bb38-6e9c1f19baee","2025-05-03","Canada","462e63bb-5fd6-4789-b5c5-5a22d20b9914","Marriage","Toys","379.5",10,"317.45","66.4","Credit Card","Senior","Male","Toronto","Erin Williams"
"9e4f3e8d-75e8-4f97-991d-81de0115125a","2025-12-31","Canada","31ed28b4-4693-4144-9616-c990131f42d2","Defense","Electronics","327.34",4,"281.28","31.7","Cash","Adult","Other","Toronto","Lisa Nixon"
"149598d4-a12f-4ace-b0dc-fd63ddf1adfa","2025-04-24","Canada","018b02c3-f78b-4f97-8849-4d3d60f832fc","Fire","Home & Kitchen","382.12",10,"290.32","33.41","Cash","Young","Male","Toronto","Christine Henderson MD"
"cc73003a-1e54-4926-a763-eee0d8ffbf4a","2025-04-04","Canada","f7a66335-a31b-43ae-a983-6f3926fcb67f","Strategy","Home & Kitchen","391.71",4,"281.86","15.89","Cash","Senior","Male","Vancouver","Tamara Powell"
"c38718cc-241f-4cbe-8002-838c6e7e89f4","2025-12-13","Canada","53c233f6-8148-4467-8ff9-50bf47005934","Professor","Sports","493.47",5,"346.66","78.04","Credit Card","Senior","Male","Vancouver","Rebecca Miller"
"af44e02c-13ff-4e66-b1e5-8d82b125970d","2025-08-06","Canada","02d4e973-ef70-4e40-beb7-df0a775a47d4","They","Home & Kitchen","243.22",7,"199.09","7.7","Cash","Young","Female","Montreal","Jesse Combs"
"ea728ea1-580d-4bed-b4d9-e9b369431176","2025-12-01","Canada","202d45db-8766-4c76-9351-8a5258425af3","Worry","Beauty","329.19",7,"252.35","24.85","Mobile Payment","Young","Female","Montreal","Mark Carson"
"c3c0486b-8ae0-4a90-8d3e-b1f6cdcf2848","2025-12-14","Canada","98be210e-c8b7-42ee-8f74-fdc5c085ec87","Ok","Beauty","178.64",3,"153.57","18.2","Mobile Payment","Senior","Male","Toronto","Tristan Jacobs"
"09101008-35ec-4b03-b148-1ca70fa0172a","2025-08-06","Canada","a3872d67-5d17-4e09-bb23-ccf328c849e3","Happen","Electronics","263.56",1,"210.43","14.12","Credit Card","Young","Female","Vancouver","Linda Rodriguez"
"b5f1fbc1-87d8-44ef-a106-fc276bca3c42","2025-08-06","Canada","c15294a1-04de-448c-bead-4179f23cece0","Financial","Sports","208.8",5,"153.21","23","Mobile Payment","Senior","Male","Montreal","Richard Lewis"
"061f89e3-ecb1-4303-b17a-f7eac77fb1b3","2025-07-07","Canada","74435c5b-8320-4254-8ac1-a168e3c6568f","Never","Home & Kitchen","406.41",9,"331.37","36.39","Credit Card","Senior","Female","Montreal","Cesar Avery"
"4973953e-04ce-46df-a247-6788eb0e18c7","2025-11-10","Canada","76026cd0-0597-4618-88df-69c621a52297","Interview","Electronics","426",6,"329.44","82.49","Cash","Senior","Male","Vancouver","Dawn Jones"
"4755279c-cecd-453d-a7d1-81a02d1ae5ef","2025-12-02","Canada","f950a33f-0168-41f5-bc67-75620ff93980","Many","Toys","26.15",2,"17.58","0.58","Mobile Payment","Adult","Other","Vancouver","Alexis Espinoza"
